code,system
N04y200,readv2
N005.00,readv2
66H..13,readv2
N04y011,readv2
N040000,readv2
N040100,readv2
G5yA.00,readv2
F396400,readv2
N040200,readv2
N040N00,readv2
N040F00,readv2
N040D00,readv2
N040T00,readv2
N040P00,readv2
7P20300,readv2
N042100,readv2
2G27.00,readv2
F371200,readv2
N040B00,readv2
H570.00,readv2
G5y8.00,readv2
N040700,readv2
N040500,readv2
N040Q00,readv2
N04y012,readv2
N04y000,readv2
J99.0,readv2
N042.00,readv2
Nyu1000,readv2
N042z00,readv2
N04X.00,readv2
N047.00,readv2
Nyu1G00,readv2
Nyu1100,readv2
M05,readv2
N362200,readv2
N040900,readv2
N040A00,readv2
N040300,readv2
N040L00,readv2
N040800,readv2
N040H00,readv2
N040400,readv2
N040S00,readv2
N040G00,readv2
N040E00,readv2
N040M00,readv2
N040C00,readv2
N040K00,readv2
9mM2.00,readv2
9mM0.00,readv2
9mM1.00,readv2
2G25.00,readv2
2G25.11,readv2
Nyu1200,readv2
N040J00,readv2
M06,readv2
N041.00,readv2
N040R00,readv2
N042200,readv2
9mM..00,readv2
9mM4.00,readv2
9mM3.00,readv2
N040.00,readv2
14G1.00,readv2
107112.0,readv2
43816.0,readv2
9954.0,readv2
12019.0,readv2
71784.0,readv2
49227.0,readv2
33264.0,readv2
8350.0,readv2
49067.0,readv2
48832.0,readv2
31209.0,readv2
56232.0,readv2
99414.0,readv2
36678.0,readv2
50863.0,readv2
56202.0,readv2
844.0,readv2
63198.0,readv2
44203.0,readv2
70221.0,readv2
46436.0,readv2
107963.0,readv2
63365.0,readv2
49787.0,readv2
18155.0,readv2
93715.0,readv2
37431.0,readv2
51239.0,readv2
44743.0,readv2
21635.0,readv2
23552.0,readv2
5723.0,readv2
100776.0,readv2
31054.0,readv2
70658.0,readv2
31724.0,readv2
27603.0,readv2
30548.0,readv2
59738.0,readv2
107791.0,readv2
6916.0,readv2
42299.0,readv2
21358.0,readv2
62401.0,readv2
28853.0,readv2
41941.0,readv2
56838.0,readv2
106440.0,readv2
23834.0,readv2
53621.0,readv2
9707.0,readv2
32001.0,readv2
73619.0,readv2
51238.0,readv2
100914.0,readv2
N04..00,readv2
N040600,readv2
107797.0,readv2
6639.0,readv2
17412.0,readv2
107575.0,readv2
102088.0,readv2
107676.0,readv2
107606.0,readv2
107340.0,readv2
107435.0,readv2